complex,adjustment,param_value,time,ATP
Complex V,0.1,15.093,2.08467643732544e-05,3.89334002017733e-05
Complex V,0.1,15.093,2.0930388650754e-05,3.890407153957e-05
Complex V,0.1,15.093,2.09554759340039e-05,3.8880387800862e-05
Complex V,0.1,15.093,2.09805632172538e-05,3.88567253123868e-05
Complex V,0.1,15.093,2.10056505005037e-05,3.88390307203481e-05
Complex V,0.1,15.093,2.10131766854786e-05,3.88213480172004e-05
Complex V,0.1,15.093,2.10207028704536e-05,3.88036771108052e-05
Complex V,0.1,15.093,2.10282290554286e-05,3.87735326123292e-05
Complex V,0.1,15.093,2.1030486910921e-05,3.87434205021938e-05
Complex V,0.1,15.093,2.10327447664135e-05,3.87133420717094e-05
Complex V,0.1,15.093,2.1035002621906e-05,3.86832977574225e-05
Complex V,0.1,15.093,2.10356799785538e-05,3.86402208858599e-05
Complex V,0.1,15.093,2.10363573352015e-05,3.86105244716726e-05
Complex V,0.1,15.093,2.10370346918493e-05,3.85808615420437e-05
Complex V,0.1,15.093,2.1037712048497e-05,3.85512320547998e-05
Complex V,0.1,15.093,2.10379152554913e-05,3.85216359708048e-05
Complex V,0.1,15.093,2.10381184624857e-05,3.84850655232355e-05
Complex V,0.1,15.093,2.103832166948e-05,3.84485460796378e-05
Complex V,0.1,15.093,2.10383826315783e-05,3.84120775668809e-05
Complex V,0.1,15.093,2.10384435936766e-05,3.83756599128399e-05
Complex V,0.1,15.093,2.10385045557749e-05,3.8339293046431e-05
Complex V,0.1,15.093,2.10385655178732e-05,3.82923435214889e-05
Complex V,0.1,15.093,2.10385838065027e-05,3.82454786434163e-05
Complex V,0.1,15.093,2.10386020951322e-05,3.81986982596531e-05
Complex V,0.1,15.093,2.10386203837616e-05,3.81520022178661e-05
Complex V,0.1,15.093,2.10386258703505e-05,3.81053903659987e-05
Complex V,0.1,15.093,2.10386313569393e-05,3.80522170726535e-05
Complex V,0.1,15.093,2.10386368435282e-05,3.79991533399793e-05
Complex V,0.1,15.093,2.1038642330117e-05,3.79461989422805e-05
Complex V,0.1,15.093,2.10386439760937e-05,3.78933536543185e-05
Complex V,0.1,15.093,2.10386444698867e-05,3.78406172513099e-05
Complex V,0.1,15.093,2.10386449636797e-05,3.77879895089328e-05
Complex V,0.1,15.093,2.10386454574727e-05,3.77749842660226e-05
Complex V,0.1,15.093,2.10386459512657e-05,3.77619856587075e-05
Complex V,0.1,15.093,2.10386460994036e-05,3.77489936836018e-05
Complex V,0.1,15.093,2.10386462475415e-05,3.7736008337322e-05
Complex V,0.15,22.6395,0,0
Complex V,0.15,22.6395,9.88731394267737e-08,4.09220016753508e-07
Complex V,0.15,22.6395,1.07771721975183e-07,8.17734400389018e-07
Complex V,0.15,22.6395,1.16670304523593e-07,1.22552937104602e-06
Complex V,0.15,22.6395,1.25568887072003e-07,1.81020311966044e-06
Complex V,0.15,22.6395,1.3149690323794e-07,2.39340274798381e-06
Complex V,0.15,22.6395,1.37424919403877e-07,2.97512222370679e-06
